,round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,optimizer,shapes,weight_regulizer
365,50,0.3370969130234285,0.8454545516859401,0.4266801762863296,0.8114434415946856,<function relu at 0x7f1605d950d0>,3,0.0,,50,8,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Adam'>,brick,
366,50,0.3483724643177166,0.8575757575757575,0.3939203176053991,0.8413524057217165,<function elu at 0x7f1605d95158>,1,0.0,,50,64,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Nadam'>,funnel,
367,150,0.36917848835388817,0.8575757575757575,0.42121925160911783,0.8166449934980494,<function relu at 0x7f1605d950d0>,2,0.0,,150,8,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.1875,<class 'keras.optimizers.Nadam'>,brick,
368,100,0.6928870443141821,0.5757575757575758,0.6937530611984442,0.5045513654096229,<function relu at 0x7f1605d950d0>,4,0.0,,100,8,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Nadam'>,brick,
369,50,0.42686436030406505,0.7909090909090909,0.44370840132030637,0.8153446033810143,<function relu at 0x7f1605d950d0>,1,0.0,,50,16,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Nadam'>,brick,
370,100,6.837979901554215,0.5757575757575758,7.985688381038552,0.5045513654096229,<function relu at 0x7f1605d950d0>,2,0.0,,100,64,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.1875,<class 'keras.optimizers.Nadam'>,funnel,
371,50,0.36418992021318636,0.8363636363636363,0.4360459207357351,0.811443433029909,<function relu at 0x7f1605d950d0>,2,0.0,,50,8,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,brick,
372,50,0.6930292826710325,0.5757575757575758,0.6936939750908255,0.4720416124837451,<function relu at 0x7f1605d950d0>,4,0.0,,50,8,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Nadam'>,funnel,
373,50,0.3540941793415131,0.8424242424242424,0.4418734310152435,0.8088426527958388,<function relu at 0x7f1605d950d0>,2,0.0,,50,8,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.875,<class 'keras.optimizers.Adam'>,brick,
374,100,9.178948918255895,0.42424242424242425,8.043752116096655,0.49544863459037713,<function elu at 0x7f1605d95158>,4,0.0,,100,8,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Nadam'>,brick,
375,50,0.3292191188895341,0.8545454545454545,0.415256427017238,0.8166449934980494,<function relu at 0x7f1605d950d0>,4,0.0,,50,64,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,brick,
376,50,0.38142401973406476,0.8333333333333334,0.44675970864476167,0.8101430429128739,<function relu at 0x7f1605d950d0>,4,0.0,,50,32,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,funnel,
377,100,0.32854867907184543,0.8454545454545455,0.34609351000023136,0.8517555266579974,<function relu at 0x7f1605d950d0>,4,0.0,,100,32,5,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,funnel,
378,100,0.32547546421958967,0.8636363636363636,0.3572980709351248,0.8374512353706112,<function elu at 0x7f1605d95158>,1,0.0,,100,64,5,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,brick,
379,50,0.37471384184830114,0.8515151515151516,0.4346433283575848,0.8192457737321196,<function elu at 0x7f1605d95158>,2,0.0,,50,64,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Adam'>,funnel,
380,150,0.3470148614523086,0.8575757641683925,0.4325646627788227,0.8179453917148054,<function relu at 0x7f1605d950d0>,3,0.0,,150,32,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Adam'>,funnel,
381,100,0.33733113161852846,0.8484848484848485,0.45873127675640196,0.812743823146944,<function elu at 0x7f1605d95158>,1,0.0,,100,64,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,funnel,
382,100,0.36879708035685876,0.8393939393939394,0.36726459557686547,0.8387516254876463,<function elu at 0x7f1605d95158>,1,0.0,,100,32,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.75,<class 'keras.optimizers.Adam'>,brick,
383,100,6.837979733913077,0.5757575861432336,7.985688186343331,0.5045513764546968,<function relu at 0x7f1605d950d0>,3,0.0,,100,8,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Nadam'>,brick,
384,50,0.3931538209319115,0.8424242504618384,0.4336816192542836,0.8205461721038942,<function elu at 0x7f1605d95158>,3,0.0,,50,8,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Nadam'>,funnel,
385,100,0.3322123431685544,0.8484848484848485,0.40995250581099546,0.8205461638491548,<function relu at 0x7f1605d950d0>,1,0.0,,100,32,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,brick,
386,150,0.6916578610738119,0.5757575757575758,0.6934031998382588,0.5006501950585176,<function relu at 0x7f1605d950d0>,1,0.0,,150,64,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Adam'>,funnel,
